Method,Match Type,Category,F1 Score
default,exact,node_texts,0.733
default,exact,node_classes,0.888
default,exact,node_text_and_class,0.672
default,exact,arrow_path,0.521
default,exact,arrow_classes,0.517
default,exact,arrow_labels,0.664
default,exact,arrow_path_and_label,0.373
default,exact,arrow_path_label_class,0.371
default,exact,group_names,0.543
default,exact,group_classes,0.791
default,exact,group_texts,0.357
default,exact,group_name_class_texts,0.248
default,exact,attribute_method_text_class,2.507
default,exact,diagram_recognition,0.103
default,normalized,node_texts,0.856
default,normalized,node_classes,0.888
default,normalized,node_text_and_class,0.788
default,normalized,arrow_path,0.672
default,normalized,arrow_classes,0.672
default,normalized,arrow_labels,0.825
default,normalized,arrow_path_and_label,0.59
default,normalized,arrow_path_label_class,0.585
default,normalized,group_names,0.635
default,normalized,group_classes,0.791
default,normalized,group_texts,0.372
default,normalized,group_name_class_texts,0.264
default,normalized,attribute_method_text_class,2.937
default,normalized,diagram_recognition,0.218
