Method,Match Type,Category,F1 Score
default,exact,node_texts,0.943
default,exact,node_classes,0.975
default,exact,node_text_and_class,0.927
default,exact,arrow_path,0.791
default,exact,arrow_classes,0.0
default,exact,arrow_labels,0.94
default,exact,arrow_path_and_label,0.739
default,exact,arrow_path_label_class,0.739
default,exact,diagram_recognition,0.214
default,normalized,node_texts,0.959
default,normalized,node_classes,0.975
default,normalized,node_text_and_class,0.943
default,normalized,arrow_path,0.806
default,normalized,arrow_classes,0.238
default,normalized,arrow_labels,0.94
default,normalized,arrow_path_and_label,0.754
default,normalized,arrow_path_label_class,0.754
default,normalized,diagram_recognition,0.214
