Method,Match Type,Category,F1 Score
default,exact,node_texts,0.318
default,exact,node_classes,0.919
default,exact,node_text_and_class,0.499
default,exact,arrow_path,0.0
default,exact,arrow_classes,0.954
default,exact,arrow_labels,0.954
default,exact,arrow_path_and_label,0.0
default,exact,arrow_path_label_class,0.0
default,exact,diagram_recognition,0.0
default,normalized,node_texts,0.542
default,normalized,node_classes,0.919
default,normalized,node_text_and_class,0.513
default,normalized,arrow_path,0.227
default,normalized,arrow_classes,0.954
default,normalized,arrow_labels,0.954
default,normalized,arrow_path_and_label,0.227
default,normalized,arrow_path_label_class,0.227
default,normalized,diagram_recognition,0.067
