Method,Match Type,Category,F1 Score
default,exact,node_texts,0.753
default,exact,node_classes,0.742
default,exact,node_text_and_class,0.629
default,exact,arrow_path,0.295
default,exact,arrow_classes,0.705
default,exact,arrow_labels,0.105
default,exact,arrow_path_and_label,0.031
default,exact,arrow_path_label_class,0.021
default,exact,group_names,0.0
default,exact,group_classes,0.0
default,exact,group_texts,0.0
default,exact,group_name_class_texts,0.0
default,exact,attribute_method_text_class,0.04
default,exact,diagram_recognition,0.0
default,normalized,node_texts,0.876
default,normalized,node_classes,0.742
default,normalized,node_text_and_class,0.732
default,normalized,arrow_path,0.4
default,normalized,arrow_classes,0.705
default,normalized,arrow_labels,0.315
default,normalized,arrow_path_and_label,0.052
default,normalized,arrow_path_label_class,0.042
default,normalized,group_names,0.0
default,normalized,group_classes,0.0
default,normalized,group_texts,0.0
default,normalized,group_name_class_texts,0.0
default,normalized,attribute_method_text_class,0.046
default,normalized,diagram_recognition,0.0
