Method,Match Type,Category,F1 Score
overall,exact,node_texts,0.917
overall,exact,node_classes,0.933
overall,exact,node_text_and_class,0.9
overall,exact,arrow_path,0.861
overall,exact,arrow_classes,0.925
overall,exact,arrow_labels,0.909
overall,exact,arrow_path_and_label,0.853
overall,exact,arrow_path_label_class,0.853
overall,exact,diagram_recognition,0.214
overall,normalized,node_texts,0.933
overall,normalized,node_classes,0.933
overall,normalized,node_text_and_class,0.917
overall,normalized,arrow_path,0.892
overall,normalized,arrow_classes,0.925
overall,normalized,arrow_labels,0.909
overall,normalized,arrow_path_and_label,0.885
overall,normalized,arrow_path_label_class,0.885
overall,normalized,diagram_recognition,0.214
