Method,Match Type,Category,F1 Score
overall,exact,node_texts,0.877
overall,exact,node_classes,0.938
overall,exact,node_text_and_class,0.862
overall,exact,arrow_path,0.824
overall,exact,arrow_classes,0.929
overall,exact,arrow_labels,0.914
overall,exact,arrow_path_and_label,0.817
overall,exact,arrow_path_label_class,0.817
overall,exact,diagram_recognition,0.2
overall,normalized,node_texts,0.877
overall,normalized,node_classes,0.938
overall,normalized,node_text_and_class,0.862
overall,normalized,arrow_path,0.824
overall,normalized,arrow_classes,0.929
overall,normalized,arrow_labels,0.914
overall,normalized,arrow_path_and_label,0.817
overall,normalized,arrow_path_label_class,0.817
overall,normalized,diagram_recognition,0.2
