Method,Match Type,Category,F1 Score
overall,exact,node_texts,0.842
overall,exact,node_classes,0.991
overall,exact,node_text_and_class,0.842
overall,exact,arrow_path,0.742
overall,exact,arrow_classes,0.995
overall,exact,arrow_labels,0.959
overall,exact,arrow_path_and_label,0.706
overall,exact,arrow_path_label_class,0.706
overall,exact,diagram_recognition,0.167
overall,normalized,node_texts,0.981
overall,normalized,node_classes,0.991
overall,normalized,node_text_and_class,0.981
overall,normalized,arrow_path,0.941
overall,normalized,arrow_classes,0.995
overall,normalized,arrow_labels,0.977
overall,normalized,arrow_path_and_label,0.923
overall,normalized,arrow_path_label_class,0.923
overall,normalized,diagram_recognition,0.367
