Method,Match Type,Category,F1 Score
overall,exact,node_texts,0.716
overall,exact,node_classes,0.846
overall,exact,node_text_and_class,0.653
overall,exact,arrow_path,0.439
overall,exact,arrow_classes,0.835
overall,exact,arrow_labels,0.763
overall,exact,arrow_path_and_label,0.377
overall,exact,arrow_path_label_class,0.369
overall,exact,group_names,0.449
overall,exact,group_classes,0.62
overall,exact,group_texts,0.295
overall,exact,group_name_class_texts,0.232
overall,exact,attribute_method_text_class,0.516
overall,exact,diagram_recognition,0.057
overall,normalized,node_texts,0.79
overall,normalized,node_classes,0.846
overall,normalized,node_text_and_class,0.725
overall,normalized,arrow_path,0.494
overall,normalized,arrow_classes,0.835
overall,normalized,arrow_labels,0.778
overall,normalized,arrow_path_and_label,0.423
overall,normalized,arrow_path_label_class,0.415
overall,normalized,group_names,0.558
overall,normalized,group_classes,0.62
overall,normalized,group_texts,0.295
overall,normalized,group_name_class_texts,0.279
overall,normalized,attribute_method_text_class,0.57
overall,normalized,diagram_recognition,0.081
