Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.901
two-shot_run1,exact,node_classes,0.988
two-shot_run1,exact,node_text_and_class,0.901
two-shot_run1,exact,arrow_path,0.731
two-shot_run1,exact,arrow_classes,0.976
two-shot_run1,exact,arrow_labels,0.954
two-shot_run1,exact,arrow_path_and_label,0.718
two-shot_run1,exact,arrow_path_label_class,0.718
two-shot_run1,exact,diagram_recognition,0.438
two-shot_run1,normalized,node_texts,0.951
two-shot_run1,normalized,node_classes,0.988
two-shot_run1,normalized,node_text_and_class,0.951
two-shot_run1,normalized,arrow_path,0.822
two-shot_run1,normalized,arrow_classes,0.979
two-shot_run1,normalized,arrow_labels,0.96
two-shot_run1,normalized,arrow_path_and_label,0.807
two-shot_run1,normalized,arrow_path_label_class,0.807
two-shot_run1,normalized,diagram_recognition,0.552
