Method,Match Type,Category,F1 Score
peft_run1,exact,node_texts,0.905
peft_run1,exact,node_classes,0.991
peft_run1,exact,node_text_and_class,0.905
peft_run1,exact,arrow_path,0.764
peft_run1,exact,arrow_classes,0.987
peft_run1,exact,arrow_labels,0.965
peft_run1,exact,arrow_path_and_label,0.749
peft_run1,exact,arrow_path_label_class,0.749
peft_run1,exact,diagram_recognition,0.521
peft_run1,normalized,node_texts,0.955
peft_run1,normalized,node_classes,0.991
peft_run1,normalized,node_text_and_class,0.955
peft_run1,normalized,arrow_path,0.849
peft_run1,normalized,arrow_classes,0.987
peft_run1,normalized,arrow_labels,0.969
peft_run1,normalized,arrow_path_and_label,0.834
peft_run1,normalized,arrow_path_label_class,0.834
peft_run1,normalized,diagram_recognition,0.604
