Method,Match Type,Category,F1 Score
peft_run1,exact,node_texts,0.974
peft_run1,exact,node_classes,0.957
peft_run1,exact,node_text_and_class,0.939
peft_run1,exact,arrow_path,0.933
peft_run1,exact,arrow_classes,0.978
peft_run1,exact,arrow_labels,0.964
peft_run1,exact,arrow_path_and_label,0.918
peft_run1,exact,arrow_path_label_class,0.918
peft_run1,exact,diagram_recognition,0.53
peft_run1,normalized,node_texts,0.981
peft_run1,normalized,node_classes,0.957
peft_run1,normalized,node_text_and_class,0.947
peft_run1,normalized,arrow_path,0.937
peft_run1,normalized,arrow_classes,0.978
peft_run1,normalized,arrow_labels,0.964
peft_run1,normalized,arrow_path_and_label,0.922
peft_run1,normalized,arrow_path_label_class,0.922
peft_run1,normalized,diagram_recognition,0.542
