Method,Match Type,Category,F1 Score
peft_run1,exact,node_texts,0.375
peft_run1,exact,node_classes,0.796
peft_run1,exact,node_text_and_class,0.45
peft_run1,exact,arrow_path,0.09
peft_run1,exact,arrow_classes,0.872
peft_run1,exact,arrow_labels,0.0
peft_run1,exact,arrow_path_and_label,0.0
peft_run1,exact,arrow_path_label_class,0.0
peft_run1,exact,group_names,0.347
peft_run1,exact,group_classes,0.567
peft_run1,exact,group_texts,0.142
peft_run1,exact,group_name_class_texts,0.0
peft_run1,exact,diagram_recognition,0.0
peft_run1,normalized,node_texts,0.606
peft_run1,normalized,node_classes,0.796
peft_run1,normalized,node_text_and_class,0.527
peft_run1,normalized,arrow_path,0.318
peft_run1,normalized,arrow_classes,0.872
peft_run1,normalized,arrow_labels,0.735
peft_run1,normalized,arrow_path_and_label,0.245
peft_run1,normalized,arrow_path_label_class,0.24
peft_run1,normalized,group_names,0.378
peft_run1,normalized,group_classes,0.567
peft_run1,normalized,group_texts,0.142
peft_run1,normalized,group_name_class_texts,0.016
peft_run1,normalized,diagram_recognition,0.0
