Method,Match Type,Category,F1 Score
peft_run1,exact,node_texts,0.752
peft_run1,exact,node_classes,0.289
peft_run1,exact,node_text_and_class,0.234
peft_run1,exact,arrow_path,0.308
peft_run1,exact,arrow_classes,0.179
peft_run1,exact,arrow_labels,0.0
peft_run1,exact,arrow_path_and_label,0.0
peft_run1,exact,arrow_path_label_class,0.0
peft_run1,exact,attribute_method_text_class,0.043
peft_run1,exact,diagram_recognition,0.0
peft_run1,normalized,node_texts,0.843
peft_run1,normalized,node_classes,0.289
peft_run1,normalized,node_text_and_class,0.253
peft_run1,normalized,arrow_path,0.377
peft_run1,normalized,arrow_classes,0.179
peft_run1,normalized,arrow_labels,0.508
peft_run1,normalized,arrow_path_and_label,0.174
peft_run1,normalized,arrow_path_label_class,0.021
peft_run1,normalized,attribute_method_text_class,0.056
peft_run1,normalized,diagram_recognition,0.0
