Method,Match Type,Category,F1 Score
peft_run1,exact,node_texts,0.75
peft_run1,exact,node_classes,0.669
peft_run1,exact,node_text_and_class,0.497
peft_run1,exact,arrow_path,0.424
peft_run1,exact,arrow_classes,0.862
peft_run1,exact,arrow_labels,0.656
peft_run1,exact,arrow_path_and_label,0.276
peft_run1,exact,arrow_path_label_class,0.262
peft_run1,exact,group_names,0.0
peft_run1,exact,group_classes,0.0
peft_run1,exact,group_texts,0.0
peft_run1,exact,group_name_class_texts,0.0
peft_run1,exact,diagram_recognition,0.053
peft_run1,normalized,node_texts,0.774
peft_run1,normalized,node_classes,0.669
peft_run1,normalized,node_text_and_class,0.516
peft_run1,normalized,arrow_path,0.445
peft_run1,normalized,arrow_classes,0.862
peft_run1,normalized,arrow_labels,0.673
peft_run1,normalized,arrow_path_and_label,0.301
peft_run1,normalized,arrow_path_label_class,0.287
peft_run1,normalized,group_names,0.0
peft_run1,normalized,group_classes,0.0
peft_run1,normalized,group_texts,0.0
peft_run1,normalized,group_name_class_texts,0.0
peft_run1,normalized,diagram_recognition,0.053
