Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.961
two-shot_run1,exact,node_classes,0.942
two-shot_run1,exact,node_text_and_class,0.905
two-shot_run1,exact,arrow_path,0.762
two-shot_run1,exact,arrow_classes,0.943
two-shot_run1,exact,arrow_labels,0.895
two-shot_run1,exact,arrow_path_and_label,0.659
two-shot_run1,exact,arrow_path_label_class,0.659
two-shot_run1,exact,diagram_recognition,0.108
two-shot_run1,normalized,node_texts,0.969
two-shot_run1,normalized,node_classes,0.942
two-shot_run1,normalized,node_text_and_class,0.91
two-shot_run1,normalized,arrow_path,0.772
two-shot_run1,normalized,arrow_classes,0.943
two-shot_run1,normalized,arrow_labels,0.903
two-shot_run1,normalized,arrow_path_and_label,0.674
two-shot_run1,normalized,arrow_path_label_class,0.674
two-shot_run1,normalized,diagram_recognition,0.108
