Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.466
two-shot_run1,exact,node_classes,0.722
two-shot_run1,exact,node_text_and_class,0.352
two-shot_run1,exact,arrow_path,0.207
two-shot_run1,exact,arrow_classes,0.775
two-shot_run1,exact,arrow_labels,0.739
two-shot_run1,exact,arrow_path_and_label,0.178
two-shot_run1,exact,arrow_path_label_class,0.172
two-shot_run1,exact,group_names,0.278
two-shot_run1,exact,group_classes,0.656
two-shot_run1,exact,group_texts,0.247
two-shot_run1,exact,group_name_class_texts,0.108
two-shot_run1,exact,diagram_recognition,0.0
two-shot_run1,normalized,node_texts,0.64
two-shot_run1,normalized,node_classes,0.722
two-shot_run1,normalized,node_text_and_class,0.507
two-shot_run1,normalized,arrow_path,0.344
two-shot_run1,normalized,arrow_classes,0.775
two-shot_run1,normalized,arrow_labels,0.747
two-shot_run1,normalized,arrow_path_and_label,0.298
two-shot_run1,normalized,arrow_path_label_class,0.283
two-shot_run1,normalized,group_names,0.448
two-shot_run1,normalized,group_classes,0.656
two-shot_run1,normalized,group_texts,0.262
two-shot_run1,normalized,group_name_class_texts,0.162
two-shot_run1,normalized,diagram_recognition,0.0
