Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.612
two-shot_run1,exact,node_classes,0.787
two-shot_run1,exact,node_text_and_class,0.501
two-shot_run1,exact,arrow_path,0.387
two-shot_run1,exact,arrow_classes,0.861
two-shot_run1,exact,arrow_labels,0.771
two-shot_run1,exact,arrow_path_and_label,0.322
two-shot_run1,exact,arrow_path_label_class,0.317
two-shot_run1,exact,group_names,0.268
two-shot_run1,exact,group_classes,0.371
two-shot_run1,exact,group_texts,0.0
two-shot_run1,exact,group_name_class_texts,0.0
two-shot_run1,exact,diagram_recognition,0.021
two-shot_run1,normalized,node_texts,0.714
two-shot_run1,normalized,node_classes,0.787
two-shot_run1,normalized,node_text_and_class,0.582
two-shot_run1,normalized,arrow_path,0.471
two-shot_run1,normalized,arrow_classes,0.861
two-shot_run1,normalized,arrow_labels,0.771
two-shot_run1,normalized,arrow_path_and_label,0.371
two-shot_run1,normalized,arrow_path_label_class,0.363
two-shot_run1,normalized,group_names,0.268
two-shot_run1,normalized,group_classes,0.371
two-shot_run1,normalized,group_texts,0.0
two-shot_run1,normalized,group_name_class_texts,0.0
two-shot_run1,normalized,diagram_recognition,0.021
