Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.773
two-shot_run1,exact,node_classes,0.942
two-shot_run1,exact,node_text_and_class,0.739
two-shot_run1,exact,arrow_path,0.369
two-shot_run1,exact,arrow_classes,0.546
two-shot_run1,exact,arrow_labels,0.003
two-shot_run1,exact,arrow_path_and_label,0.0
two-shot_run1,exact,arrow_path_label_class,0.0
two-shot_run1,exact,attribute_method_text_class,0.043
two-shot_run1,exact,diagram_recognition,0.0
two-shot_run1,normalized,node_texts,0.847
two-shot_run1,normalized,node_classes,0.942
two-shot_run1,normalized,node_text_and_class,0.81
two-shot_run1,normalized,arrow_path,0.441
two-shot_run1,normalized,arrow_classes,0.546
two-shot_run1,normalized,arrow_labels,0.452
two-shot_run1,normalized,arrow_path_and_label,0.202
two-shot_run1,normalized,arrow_path_label_class,0.1
two-shot_run1,normalized,attribute_method_text_class,0.044
two-shot_run1,normalized,diagram_recognition,0.0
