Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.973
two-shot_run1,exact,node_classes,0.879
two-shot_run1,exact,node_text_and_class,0.849
two-shot_run1,exact,arrow_path,0.713
two-shot_run1,exact,arrow_classes,0.0
two-shot_run1,exact,arrow_labels,0.851
two-shot_run1,exact,arrow_path_and_label,0.603
two-shot_run1,exact,arrow_path_label_class,0.603
two-shot_run1,exact,diagram_recognition,0.0
two-shot_run1,normalized,node_texts,0.978
two-shot_run1,normalized,node_classes,0.879
two-shot_run1,normalized,node_text_and_class,0.852
two-shot_run1,normalized,arrow_path,0.72
two-shot_run1,normalized,arrow_classes,0.907
two-shot_run1,normalized,arrow_labels,0.869
two-shot_run1,normalized,arrow_path_and_label,0.62
two-shot_run1,normalized,arrow_path_label_class,0.62
two-shot_run1,normalized,diagram_recognition,0.0
