Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.449
two-shot_run1,exact,node_classes,0.687
two-shot_run1,exact,node_text_and_class,0.253
two-shot_run1,exact,arrow_path,0.169
two-shot_run1,exact,arrow_classes,0.0
two-shot_run1,exact,arrow_labels,0.888
two-shot_run1,exact,arrow_path_and_label,0.163
two-shot_run1,exact,arrow_path_label_class,0.163
two-shot_run1,exact,diagram_recognition,0.014
two-shot_run1,normalized,node_texts,0.789
two-shot_run1,normalized,node_classes,0.687
two-shot_run1,normalized,node_text_and_class,0.531
two-shot_run1,normalized,arrow_path,0.561
two-shot_run1,normalized,arrow_classes,0.979
two-shot_run1,normalized,arrow_labels,0.935
two-shot_run1,normalized,arrow_path_and_label,0.537
two-shot_run1,normalized,arrow_path_label_class,0.537
two-shot_run1,normalized,diagram_recognition,0.041
