Method,Match Type,Category,F1 Score
two-shot_run1,exact,node_texts,0.424
two-shot_run1,exact,node_classes,0.756
two-shot_run1,exact,node_text_and_class,0.462
two-shot_run1,exact,arrow_path,0.103
two-shot_run1,exact,arrow_classes,0.875
two-shot_run1,exact,arrow_labels,0.0
two-shot_run1,exact,arrow_path_and_label,0.0
two-shot_run1,exact,arrow_path_label_class,0.0
two-shot_run1,exact,group_names,0.252
two-shot_run1,exact,group_classes,0.379
two-shot_run1,exact,group_texts,0.0
two-shot_run1,exact,group_name_class_texts,0.0
two-shot_run1,exact,diagram_recognition,0.0
two-shot_run1,normalized,node_texts,0.714
two-shot_run1,normalized,node_classes,0.756
two-shot_run1,normalized,node_text_and_class,0.544
two-shot_run1,normalized,arrow_path,0.442
two-shot_run1,normalized,arrow_classes,0.875
two-shot_run1,normalized,arrow_labels,0.768
two-shot_run1,normalized,arrow_path_and_label,0.356
two-shot_run1,normalized,arrow_path_label_class,0.354
two-shot_run1,normalized,group_names,0.295
two-shot_run1,normalized,group_classes,0.379
two-shot_run1,normalized,group_texts,0.0
two-shot_run1,normalized,group_name_class_texts,0.0
two-shot_run1,normalized,diagram_recognition,0.0
